---OutputTable---
time=16763
table_size=3895
[137] - <16 32 378 384 > true count=1, estimated count=21, Key=1247394
[138] - <15 909 1200 > true count=1, estimated count=21, Key=1972038
[139] - <63 117 > true count=1, estimated count=21, Key=64062
[140] - <48 1142 1226 > true count=1, estimated count=21, Key=2131476
[141] - <5 63 120 569 > true count=2, estimated count=21, Key=1315963
[142] - <5 8 54 57 139 460 > true count=1, estimated count=21, Key=2213719
[143] - <57 63 176 252 1185 > true count=1, estimated count=21, Key=4010623
[144] - <31 61 367 538 735 891 1173 > true count=1, estimated count=21, Key=4453694
[145] - <5 35 57 219 378 > true count=1, estimated count=21, Key=1564792
[146] - <102 581 1173 > true count=1, estimated count=21, Key=1759526
[147] - <8 57 63 698 > true count=2, estimated count=21, Key=1499728
[148] - <48 54 118 378 > true count=1, estimated count=21, Key=927962
[149] - <139 853 911 > true count=1, estimated count=21, Key=1586349
[150] - <32 381 > true count=1, estimated count=21, Key=208439
[151] - <2 51 54 252 303 > true count=1, estimated count=21, Key=1429448
[152] - <4 48 57 214 > true count=21, estimated count=21, Key=522815
[153] - <5 214 853 911 > true count=1, estimated count=21, Key=2981023
[154] - <2 5 276 451 518 576 876 1218 > true count=1, estimated count=21, Key=1101436
[155] - <21 25 63 88 367 735 911 > true count=1, estimated count=21, Key=434956
[156] - <120 159 > true count=3, estimated count=21, Key=87093
[157] - <4 23 205 1057 > true count=1, estimated count=21, Key=2371131
[158] - <31 109 120 270 300 > true count=1, estimated count=21, Key=1569944
[159] - <36 59 > true count=1, estimated count=21, Key=32309
[160] - <57 118 203 > true count=1, estimated count=21, Key=314090
[161] - <21 48 157 460 843 1025 > true count=1, estimated count=21, Key=7123942
[162] - <275 367 471 500 920 > true count=1, estimated count=21, Key=4305463
[163] - <18 57 327 > true count=1, estimated count=21, Key=433080
[164] - <19 36 57 > true count=1, estimated count=21, Key=89764
[165] - <18 54 63 498 > true count=1, estimated count=21, Key=1099497
[166] - <147 367 > true count=1, estimated count=21, Key=200896
[167] - <275 862 > true count=2, estimated count=21, Key=471789
[168] - <378 667 > true count=3, estimated count=21, Key=365227
[169] - <5 48 61 63 68 358 > true count=1, estimated count=21, Key=1695719
[170] - <48 120 322 > true count=1, estimated count=21, Key=461426
[171] - <8 1173 > true count=1, estimated count=21, Key=641639
[172] - <18 120 270 286 303 362 > true count=1, estimated count=21, Key=3096755
[173] - <57 105 110 > true count=1, estimated count=21, Key=192682
[174] - <109 950 > true count=1, estimated count=21, Key=519759
[175] - <303 367 378 > true count=2, estimated count=21, Key=665614
[176] - <29 120 378 > true count=21, estimated count=21, Key=530231
[177] - <31 1134 > true count=3, estimated count=21, Key=620329
[178] - <57 928 986 > true count=1, estimated count=21, Key=1719467
[179] - <7 13 35 57 1134 > true count=1, estimated count=21, Key=3281100
[180] - <57 201 212 261 270 453 > true count=1, estimated count=21, Key=3255148
[181] - <7 32 63 290 1173 > true count=1, estimated count=21, Key=3897485
[182] - <13 57 72 139 > true count=1, estimated count=21, Key=396707
[183] - <129 286 381 393 > true count=1, estimated count=21, Key=1408069
[184] - <5 54 57 115 151 378 831 > true count=1, estimated count=21, Key=5771359
[185] - <4 57 189 > true count=1, estimated count=21, Key=263464
[186] - <135 261 632 > true count=1, estimated count=21, Key=919630
[187] - <57 147 567 1099 > true count=1, estimated count=21, Key=2967616
[188] - <23 752 > true count=2, estimated count=21, Key=411367
[189] - <4 48 57 198 > true count=1, estimated count=21, Key=490927
[190] - <57 252 569 1134 > true count=1, estimated count=21, Key=3097264
[191] - <7 18 56 303 599 1134 > true count=1, estimated count=21, Key=6390061
[192] - <54 57 63 116 120 1228 > true count=1, estimated count=21, Key=5067196
[193] - <56 154 378 492 > true count=1, estimated count=21, Key=1529412
[194] - <5 48 57 139 252 314 > true count=1, estimated count=21, Key=2190523
[195] - <23 294 314 489 > true count=1, estimated count=21, Key=1521324
[196] - <92 139 403 1020 > true count=1, estimated count=21, Key=2604272
[197] - <7 509 > true count=1, estimated count=21, Key=278430
[198] - <2 281 > true count=1, estimated count=21, Key=153709
[199] - <5 23 105 > true count=1, estimated count=21, Key=141631
[200] - <378 480 833 > true count=1, estimated count=21, Key=1286695
[201] - <252 498 > true count=1, estimated count=21, Key=272658
[202] - <214 252 1134 > true count=2, estimated count=21, Key=1531744
[203] - <263 557 > true count=1, estimated count=21, Key=304942
[204] - <8 367 > true count=1, estimated count=21, Key=200757
[205] - <7 18 54 63 252 378 > true count=20, estimated count=21, Key=2248144
[206] - <302 378 > true count=3, estimated count=20, Key=207068
[207] - <85 > true count=20, estimated count=20, Key=85
[208] - <54 120 139 194 287 347 378 907 > true count=1, estimated count=21, Key=4326782
[209] - <4 7 54 57 139 460 > true count=20, estimated count=21, Key=2213171
[210] - <5 57 61 252 1134 > true count=19, estimated count=20, Key=3725755
[211] - <7 48 57 61 378 > true count=19, estimated count=20, Key=1257011
[212] - <2 5 7 57 367 > true count=2, estimated count=20, Key=1133824
[213] - <5 7 54 63 139 460 > true count=20, estimated count=20, Key=2225130
[214] - <3 5 18 > true count=20, estimated count=20, Key=24860
[215] - <4 7 18 57 139 378 > true count=20, estimated count=20, Key=1875285
[216] - <5 7 54 57 465 > true count=3, estimated count=21, Key=1462086
[217] - <4 5 7 18 139 378 > true count=20, estimated count=20, Key=1782945
[218] - <4 48 869 1134 > true count=2, estimated count=20, Key=3354323
[219] - <7 32 911 > true count=1, estimated count=20, Key=1137130
[220] - <4 54 57 63 120 139 252 1134 > true count=20, estimated count=21, Key=2168019
[221] - <4 7 853 > true count=4, estimated count=20, Key=1052170
[222] - <54 61 1173 > true count=2, estimated count=20, Key=1475038
[223] - <120 499 > true count=2, estimated count=20, Key=273073
[224] - <516 > true count=22, estimated count=22, Key=516
[225] - <13 18 57 63 126 139 460 1214 > true count=1, estimated count=21, Key=3084478
[226] - <5 7 76 > true count=3, estimated count=20, Key=97238
[227] - <57 76 1134 > true count=3, estimated count=20, Key=1435315
[228] - <18 88 231 > true count=1, estimated count=21, Key=332053
[229] - <7 525 > true count=1, estimated count=20, Key=287182
[230] - <992 1204 > true count=2, estimated count=20, Key=659580
[231] - <5 75 992 > true count=2, estimated count=20, Key=1260198
[232] - <7 18 48 54 120 139 460 > true count=20, estimated count=21, Key=3037766
[233] - <222 367 > true count=2, estimated count=20, Key=200971
[234] - <4 5 18 48 63 68 126 772 > true count=1, estimated count=21, Key=1095038
[235] - <5 378 1203 > true count=2, estimated count=20, Key=1685258
[236] - <48 499 > true count=2, estimated count=20, Key=273001
[237] - <4 23 54 1134 > true count=19, estimated count=20, Key=2339013
[238] - <4 23 57 154 1134 > true count=1, estimated count=21, Key=3506926
[239] - <5 63 567 > true count=3, estimated count=20, Key=731309
[240] - <19 54 63 120 1173 > true count=2, estimated count=21, Key=3570721
[241] - <5 20 139 157 344 450 > true count=1, estimated count=21, Key=3051783
[242] - <5 252 500 > true count=5, estimated count=20, Key=752349
[243] - <139 252 303 > true count=2, estimated count=20, Key=510370
[244] - <20 23 188 > true count=1, estimated count=20, Key=243653
[245] - <4 23 54 252 > true count=20, estimated count=20, Key=581187
[246] - <530 576 737 911 > true count=1, estimated count=20, Key=3036998
[247] - <4 7 18 48 120 139 460 > true count=20, estimated count=20, Key=2982918
[248] - <29 54 96 129 381 891 904 1187 > true count=1, estimated count=21, Key=1140459
[249] - <7 18 63 139 810 > true count=1, estimated count=20, Key=2590997
[250] - <57 63 105 549 > true count=1, estimated count=20, Key=1257720
[251] - <48 57 807 > true count=1, estimated count=20, Key=1023030
[252] - <18 54 63 367 1134 > true count=19, estimated count=20, Key=3955780
[253] - <5 7 18 120 367 > true count=19, estimated count=20, Key=1273999
[254] - <2 5 7 63 1134 > true count=2, estimated count=20, Key=3254265
[255] - <7 57 120 388 > true count=1, estimated count=20, Key=951950
[256] - <57 120 265 > true count=2, estimated count=22, Key=391382
[257] - <48 367 465 > true count=4, estimated count=21, Key=772282
[258] - <7 126 756 935 > true count=1, estimated count=21, Key=2861508
[259] - <23 57 235 > true count=1, estimated count=21, Key=320017
[260] - <378 927 > true count=3, estimated count=21, Key=507447
[261] - <18 54 63 120 367 > true count=20, estimated count=21, Key=1355026
[262] - <5 18 63 367 > true count=21, estimated count=22, Key=818709
[263] - <57 139 257 270 > true count=1, estimated count=21, Key=930053
[264] - <5 7 48 57 61 120 139 > true count=21, estimated count=21, Key=1388355
[265] - <5 63 336 545 755 > true count=1, estimated count=21, Key=3609090
[266] - <7 48 54 57 252 378 > true count=21, estimated count=21, Key=2252596
[267] - <327 1058 > true count=1, estimated count=21, Key=579053
[268] - <5 7 18 57 378 1134 > true count=20, estimated count=21, Key=5239533
[269] - <4 5 7 54 63 120 378 1134 > true count=19, estimated count=21, Key=2394143
[270] - <5 23 48 54 69 88 1134 > true count=1, estimated count=21, Key=5697423
[271] - <5 57 646 > true count=1, estimated count=21, Key=825118
[272] - <5 7 18 48 378 1134 > true count=20, estimated count=21, Key=5221596
[273] - <252 303 378 > true count=3, estimated count=21, Key=630555
[274] - <5 24 57 126 371 > true count=1, estimated count=21, Key=1354183
[275] - <57 215 853 > true count=1, estimated count=21, Key=1165999
[276] - <120 872 > true count=2, estimated count=21, Key=477104
[277] - <63 93 139 > true count=1, estimated count=21, Key=221765
[278] - <5 18 48 54 57 252 378 1134 > true count=20, estimated count=21, Key=2907842
[279] - <134 380 909 1092 1200 > true count=1, estimated count=21, Key=6800311
[280] - <48 1173 1200 > true count=1, estimated count=21, Key=2116479
[281] - <3 15 > true count=2, estimated count=21, Key=8208
[282] - <5 20 57 63 > true count=1, estimated count=21, Key=206557
[283] - <197 378 > true count=1, estimated count=21, Key=206963
[284] - <19 139 252 > true count=21, estimated count=21, Key=385760
[285] - <8 1216 > true count=1, estimated count=21, Key=665160
[286] - <57 409 > true count=2, estimated count=21, Key=223780
[287] - <139 441 647 > true count=1, estimated count=21, Key=1036529
